,WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
527,1/2/2023,id201,Against,4,4,14
528,1/2/2023,id201,For,5,5,6
529,1/2/2023,id200,Against,22,22,120
530,1/2/2023,id200,Abstain,1,1,2
531,1/2/2023,id199,For,43,43,219
532,1/2/2023,id199,Against,3,3,8
533,1/2/2023,id198,Against,26,26,140
534,1/2/2023,id198,For,12,12,44
535,1/2/2023,id198,Abstain,7,7,50
536,1/9/2023,id204,Against,6,6,53
537,1/9/2023,id204,For,5,5,19
538,1/9/2023,id203,Against,11,11,72
539,1/9/2023,id203,For,8,8,21
540,1/9/2023,id202,Against,9,9,36
541,1/9/2023,id202,For,4,4,16
542,1/9/2023,id202,Abstain,1,1,2
543,1/9/2023,id201,Against,2,2,2
544,1/9/2023,id201,For,27,27,163
545,1/9/2023,id200,For,3,3,14
546,1/9/2023,id200,Against,18,18,44
547,1/9/2023,id199,Against,1,1,1
548,1/9/2023,id199,For,4,4,7
549,1/16/2023,id211,Against,1,1,1
550,1/16/2023,id211,For,3,3,6
551,1/16/2023,id210,For,2,2,13
552,1/16/2023,id210,Against,21,21,117
553,1/16/2023,id209,For,26,26,145
554,1/16/2023,id208,Abstain,4,4,20
555,1/16/2023,id208,Against,6,6,8
556,1/16/2023,id208,For,18,18,81
557,1/16/2023,id207,For,42,42,216
558,1/16/2023,id207,Abstain,1,1,1
559,1/16/2023,id207,Against,1,1,1
560,1/16/2023,id206,For,42,42,196
561,1/16/2023,id206,Against,14,14,72
562,1/16/2023,id205,For,46,46,234
563,1/16/2023,id205,Against,2,2,4
564,1/16/2023,id205,Abstain,3,3,5
565,1/16/2023,id204,Abstain,1,1,1
566,1/16/2023,id204,For,2,2,3
567,1/16/2023,id204,Against,32,32,160
568,1/16/2023,id203,Against,29,29,138
569,1/16/2023,id203,For,3,3,4
570,1/16/2023,id202,Abstain,1,1,1
571,1/16/2023,id202,Against,14,14,97
572,1/16/2023,id202,For,10,10,15
573,1/23/2023,id217,For,12,12,70
574,1/23/2023,id216,Abstain,3,3,19
575,1/23/2023,id216,For,33,33,166
576,1/23/2023,id216,Against,11,11,75
577,1/23/2023,id215,Against,21,21,126
578,1/23/2023,id215,For,35,35,146
579,1/23/2023,id215,Abstain,2,2,2
580,1/23/2023,id214,Against,4,4,6
581,1/23/2023,id214,Abstain,1,1,0
582,1/23/2023,id214,For,42,42,190
583,1/23/2023,id211,For,44,44,165
584,1/23/2023,id211,Against,7,7,35
585,1/23/2023,id211,Abstain,1,1,22
586,1/23/2023,id210,For,3,3,19
587,1/23/2023,id210,Abstain,2,2,3
588,1/23/2023,id210,Against,14,14,59
589,1/23/2023,id209,For,16,16,62
590,1/23/2023,id209,Abstain,2,2,4
591,1/23/2023,id208,Abstain,4,4,41
592,1/23/2023,id208,Against,2,2,49
593,1/23/2023,id208,For,9,9,18
594,1/23/2023,id207,For,7,7,33
595,1/30/2023,id221,For,6,6,50
596,1/30/2023,id219,Against,3,3,22
597,1/30/2023,id218,Against,28,28,122
598,1/30/2023,id218,For,42,42,158
599,1/30/2023,id218,Abstain,1,1,2
600,1/30/2023,id217,Against,4,4,22
601,1/30/2023,id217,Abstain,3,3,25
602,1/30/2023,id217,For,31,31,85
603,2/6/2023,id232,Against,1,1,2
604,2/6/2023,id231,For,4,4,34
605,2/6/2023,id229,For,9,9,56
606,2/6/2023,id229,Against,5,5,35
607,2/6/2023,id228,Against,9,9,72
608,2/6/2023,id228,For,3,3,6
609,2/6/2023,id228,Abstain,1,1,1
610,2/6/2023,id227,For,23,23,123
611,2/6/2023,id227,Abstain,2,2,23
612,2/6/2023,id227,Against,13,13,93
613,2/6/2023,id226,For,31,31,176
614,2/6/2023,id226,Abstain,1,1,2
615,2/6/2023,id226,Against,6,6,39
616,2/6/2023,id225,Against,22,22,134
617,2/6/2023,id225,For,9,9,24
618,2/6/2023,id224,Against,11,11,17
619,2/6/2023,id224,For,22,22,151
620,2/6/2023,id224,Abstain,2,2,3
621,2/6/2023,id223,For,18,18,45
622,2/6/2023,id223,Abstain,2,2,17
623,2/6/2023,id223,Against,20,20,102
624,2/6/2023,id222,Against,33,33,197
625,2/6/2023,id222,For,6,6,27
626,2/6/2023,id222,Abstain,2,2,4
627,2/6/2023,id221,Against,16,16,86
628,2/6/2023,id221,For,22,22,104
629,2/6/2023,id221,Abstain,1,1,3
630,2/6/2023,id219,For,1,1,16
631,2/13/2023,id238,For,5,5,7
