DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2023-04-14T00:00:00Z,37,For,3,3,105.112706
2023-04-20T00:00:00Z,37,For,5,5,6598428.733
2023-04-19T00:00:00Z,37,For,15,15,41779601.86
2023-04-16T00:00:00Z,37,For,21,21,71.129708
2023-04-15T00:00:00Z,37,For,26,26,154.275264
2023-05-01T00:00:00Z,38,For,1,1,22.677875
2023-05-02T00:00:00Z,38,For,3,3,182.359357
2023-04-29T00:00:00Z,38,For,29,29,9402948.563
2023-05-03T00:00:00Z,38,For,9,9,32534278.84
2023-04-30T00:00:00Z,38,For,8,8,4500211.412
2023-04-28T00:00:00Z,38,For,3,3,2502492.798
2023-04-28T00:00:00Z,38,Abstain,1,1,6151.896451
2023-05-04T00:00:00Z,38,For,3,3,3.825618
2023-05-15T00:00:00Z,39,For,8,8,31.256615
2023-05-12T00:00:00Z,39,Against,1,1,1
2023-05-14T00:00:00Z,39,For,5,5,821.711582
2023-05-13T00:00:00Z,39,For,7,7,56.227941
2023-05-12T00:00:00Z,39,For,7,7,12239927.39
2023-05-14T00:00:00Z,39,Against,1,1,0
